;study;condition_arm1;condition_arm2;multi_arm1;multi_arm2;outcome_type;instrument;rating;construct;time_weeks;time;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;mean_change_arm2;sd_change_arm1;sd_change_arm2;n_change_arm1;n_change_arm2;dich_paper;event_arm1;event_arm2;totaln_arm1;totaln_arm2;precalc_g;precalc_g_se;precalc_log_rr;precalc_log_rr_se;other_stat;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;rand_arm1;rand_arm2;attr_arm1;attr_arm2;rand_ratio;year;sg;ac;ba;itt;rob;full_ref;format;clinical_interview_diagnosis;clinical_diagnosis_interview;cbt;guided;.id;.g;.g_se;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2
1;Aardoom, 2016;psychoed + symp mon;wl;Internet (self-guided);wl;msd;edeq;self-report;ed psychopathology;8,0;post;4,05;1,0;87,0;3,92;1,14;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;no;Aardoom_2016_msd_edeq_post_8_self-report_psychoed+sympmon_wl_Internet(self-guided)_wl;-0,12058126098902;0,150488510594961;;;;;;
2;Aardoom, 2016;psychoed + symp mon;wl;Internet (low intens guided);wl;msd;edeq;self-report;ed psychopathology;8,0;post;3,81;1,18;88,0;3,92;1,14;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edeq_post_8_self-report_psychoed+sympmon_wl_Internet(lowintensguided)_wl;0,094427382347278;0,150000030175322;;;;;;
3;Aardoom, 2016;psychoed + symp mon;wl;Internet (high intens guided);wl;msd;edeq;self-report;ed psychopathology;8,0;post;3,58;1,32;89,0;3,92;1,14;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edeq_post_8_self-report_psychoed+sympmon_wl_Internet(highintensguided)_wl;0,274628881071437;0,150198331383134;;;;;;
4;Aardoom, 2016;psychoed + symp mon;wl;Internet (self-guided);wl;msd;edeq;self-report;ed psychopathology;12,0;fu;3,53;1,4;87,0;3,85;1,32;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;no;Aardoom_2016_msd_edeq_fu_12_self-report_psychoed+sympmon_wl_Internet(self-guided)_wl;0,234301065950202;0,150870076461633;;;;;;
5;Aardoom, 2016;psychoed + symp mon;wl;Internet (low intens guided);wl;msd;edeq;self-report;ed psychopathology;12,0;fu;3,57;1,37;88,0;3,85;1,32;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edeq_fu_12_self-report_psychoed+sympmon_wl_Internet(lowintensguided)_wl;0,207298028670677;0,150321301002326;;;;;;
6;Aardoom, 2016;psychoed + symp mon;wl;Internet (high intens guided);wl;msd;edeq;self-report;ed psychopathology;12,0;fu;3,5;1,58;89,0;3,85;1,32;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edeq_fu_12_self-report_psychoed+sympmon_wl_Internet(highintensguided)_wl;0,23951524539228;0,150028928406227;;;;;;
7;Aardoom, 2016;psychoed + symp mon;wl;Internet (self-guided);wl;msd;phq4;self-report;psychiatric distress;8,0;post;6,5;3,38;87,0;7,7;3,39;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;no;Aardoom_2016_msd_phq4_post_8_self-report_psychoed+sympmon_wl_Internet(self-guided)_wl;0,352974365562327;0,151526751079405;;;;;;
8;Aardoom, 2016;psychoed + symp mon;wl;Internet (low intens guided);wl;msd;phq4;self-report;psychiatric distress;8,0;post;6,51;3,53;88,0;7,7;3,39;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_phq4_post_8_self-report_psychoed+sympmon_wl_Internet(lowintensguided)_wl;0,342471584760104;0,151019981163081;;;;;;
9;Aardoom, 2016;psychoed + symp mon;wl;Internet (high intens guided);wl;msd;phq4;self-report;psychiatric distress;8,0;post;6,79;3,52;89,0;7,7;3,39;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_phq4_post_8_self-report_psychoed+sympmon_wl_Internet(highintensguided)_wl;0,262250238592238;0,150135993069924;;;;;;
10;Aardoom, 2016;psychoed + symp mon;wl;Internet (self-guided);wl;msd;phq4;self-report;psychiatric distress;12,0;fu;5,03;3,5;87,0;7,41;3,5;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;no;Aardoom_2016_msd_phq4_fu_12_self-report_psychoed+sympmon_wl_Internet(self-guided)_wl;0,677081545064378;0,154633691910721;;;;;;
11;Aardoom, 2016;psychoed + symp mon;wl;Internet (low intens guided);wl;msd;phq4;self-report;psychiatric distress;12,0;fu;6,07;3,65;88,0;7,41;3,5;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_phq4_fu_12_self-report_psychoed+sympmon_wl_Internet(lowintensguided)_wl;0,37323248089738;0,151226346146704;;;;;;
12;Aardoom, 2016;psychoed + symp mon;wl;Internet (high intens guided);wl;msd;phq4;self-report;psychiatric distress;12,0;fu;6,72;3,77;89,0;7,41;3,5;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_phq4_fu_12_self-report_psychoed+sympmon_wl_Internet(highintensguided)_wl;0,18892508889674;0,149825291406376;;;;;;
13;Aardoom, 2016;psychoed + symp mon;wl;Internet (self-guided);wl;msd;edqol;self-report;quality of life;8,0;post;2,59;0,69;87,0;2,46;0,73;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;no;Aardoom_2016_msd_edqol_post_8_self-report_psychoed+sympmon_wl_Internet(self-guided)_wl;-0,182152601640469;0,150664864259284;;;;;;
14;Aardoom, 2016;psychoed + symp mon;wl;Internet (low intens guided);wl;msd;edqol;self-report;quality of life;8,0;post;2,55;0,62;88,0;2,46;0,73;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edqol_post_8_self-report_psychoed+sympmon_wl_Internet(lowintensguided)_wl;-0,132204251045988;0,150080860201199;;;;;;
15;Aardoom, 2016;psychoed + symp mon;wl;Internet (high intens guided);wl;msd;edqol;self-report;quality of life;8,0;post;2,49;0,69;89,0;2,46;0,73;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edqol_post_8_self-report_psychoed+sympmon_wl_Internet(highintensguided)_wl;-0,0420508582320544;0,149506012147206;;;;;;
16;Aardoom, 2016;psychoed + symp mon;wl;Internet (self-guided);wl;msd;edqol;self-report;quality of life;12,0;fu;2,14;0,69;87,0;2,35;0,63;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;no;Aardoom_2016_msd_edqol_fu_12_self-report_psychoed+sympmon_wl_Internet(self-guided)_wl;0,316735841882186;0,151298402623683;;;;;;
17;Aardoom, 2016;psychoed + symp mon;wl;Internet (low intens guided);wl;msd;edqol;self-report;quality of life;12,0;fu;2,47;0,61;88,0;2,35;0,63;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edqol_fu_12_self-report_psychoed+sympmon_wl_Internet(lowintensguided)_wl;-0,192662071198963;0,150266127371307;;;;;;
18;Aardoom, 2016;psychoed + symp mon;wl;Internet (high intens guided);wl;msd;edqol;self-report;quality of life;12,0;fu;2,22;0,66;89,0;2,35;0,63;90,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;1;low;Aardoom, J. J., Dingemans, A. E., Spinhoven, P., van Ginkel, J. R., de Rooij, M., & van Furth, E. F. (2016). Web-based fully automated self-help with different levels of therapist support for individuals with eating disorder symptoms: a randomized controlled trial. Journal of medical Internet research, 18(6), e159.;web;no;;no;yes;Aardoom_2016_msd_edqol_fu_12_self-report_psychoed+sympmon_wl_Internet(highintensguided)_wl;0,200667256211328;0,149868293709385;;;;;;
19;Ali, 2022;psychoed + symp mon;wl;Internet (peer support);wl;msd;edeq r;self-report;restraint;6,0;post;0,4;0,57;2,0;3,63;1,97;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;0;high;Ali, K., Fassnacht, D. B., Farrer, L. M., Rieger, E., Moessner, M., Bauer, S., & Griffiths, K. M. (2022). Recruitment, adherence and attrition challenges in internet-based indicated prevention programs for eating disorders: lessons learned from a randomised controlled trial of ProYouth OZ. Journal of Eating Disorders, 10(1), 1.;web;no;;no;yes;Ali_2022_msd_edeqr_post_6_self-report_psychoed+sympmon_wl_Internet(peersupport)_wl;1,56332137945585;0,902606805941512;;;;;;
20;Ali, 2022;psychoed + symp mon;wl;Internet (peer support);wl;msd;edeq ec;self-report;eating concerns;6,0;post;0,4;0,57;2,0;2,17;1,66;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;0;high;Ali, K., Fassnacht, D. B., Farrer, L. M., Rieger, E., Moessner, M., Bauer, S., & Griffiths, K. M. (2022). Recruitment, adherence and attrition challenges in internet-based indicated prevention programs for eating disorders: lessons learned from a randomised controlled trial of ProYouth OZ. Journal of Eating Disorders, 10(1), 1.;web;no;;no;yes;Ali_2022_msd_edeqec_post_6_self-report_psychoed+sympmon_wl_Internet(peersupport)_wl;1,01381870283475;0,845651420252792;;;;;;
21;Ali, 2022;psychoed + symp mon;wl;Internet (peer support);wl;msd;edeq;self-report;ed psychopathology;6,0;post;0,89;0,57;2,0;3,38;1,59;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;0;high;Ali, K., Fassnacht, D. B., Farrer, L. M., Rieger, E., Moessner, M., Bauer, S., & Griffiths, K. M. (2022). Recruitment, adherence and attrition challenges in internet-based indicated prevention programs for eating disorders: lessons learned from a randomised controlled trial of ProYouth OZ. Journal of Eating Disorders, 10(1), 1.;web;no;;no;yes;Ali_2022_msd_edeq_post_6_self-report_psychoed+sympmon_wl_Internet(peersupport)_wl;1,4877195717156;0,893577343472857;;;;;;
22;Ali, 2022;psychoed + symp mon;wl;Internet (peer support);wl;msd;edeq sc;self-report;shape concern;6,0;post;1,25;0,18;2,0;3,98;1,73;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;0;high;Ali, K., Fassnacht, D. B., Farrer, L. M., Rieger, E., Moessner, M., Bauer, S., & Griffiths, K. M. (2022). Recruitment, adherence and attrition challenges in internet-based indicated prevention programs for eating disorders: lessons learned from a randomised controlled trial of ProYouth OZ. Journal of Eating Disorders, 10(1), 1.;web;no;;no;yes;Ali_2022_msd_edeqsc_post_6_self-report_psychoed+sympmon_wl_Internet(peersupport)_wl;1,51372149162752;0,896642561664283;;;;;;
23;Ali, 2022;psychoed + symp mon;wl;Internet (peer support);wl;msd;edec wc;self-report;weight concern;6,0;post;1,5;0,99;2,0;3,74;1,37;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;0;high;Ali, K., Fassnacht, D. B., Farrer, L. M., Rieger, E., Moessner, M., Bauer, S., & Griffiths, K. M. (2022). Recruitment, adherence and attrition challenges in internet-based indicated prevention programs for eating disorders: lessons learned from a randomised controlled trial of ProYouth OZ. Journal of Eating Disorders, 10(1), 1.;web;no;;no;yes;Ali_2022_msd_edecwc_post_6_self-report_psychoed+sympmon_wl_Internet(peersupport)_wl;1,50566098645386;0,895687800227068;;;;;;
24;Ali, 2022;psychoed + symp mon;wl;Internet (self-guided);wl;msd;edeq r;self-report;restraint;6,0;post;3,57;1,89;6,0;3,63;1,97;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;sr;0;high;Ali, K., Fassnacht, D. B., Farrer, L. M., Rieger, E., Moessner, M., Bauer, S., & Griffiths, K. M. (2022). Recruitment, adherence and attrition challenges in internet-based indicated prevention programs for eating disorders: lessons learned from a randomised controlled trial of ProYouth OZ. Journal of Eating Disorders, 10(1), 1.;web;no;;no;no;Ali_2022_msd_edeqr_post_6_self-report_psychoed+sympmon_wl_Internet(self-guided)_wl;0,0288586390047764;0,556381906622511;;;;;;
